a_o,c_digo_municipio,municipio,c_digo_departamento,departamento,c_digo_etc,etc,poblaci_n_5_16,tasa_matriculaci_n_5_16,cobertura_neta,cobertura_neta_transici_n,cobertura_neta_primaria,cobertura_neta_secundaria,cobertura_neta_media,cobertura_bruta,cobertura_bruta_transici_n,cobertura_bruta_primaria,cobertura_bruta_secundaria,cobertura_bruta_media,tama_o_promedio_de_grupo,sedes_conectadas_a_internet,deserci_n,deserci_n_transici_n,deserci_n_primaria,deserci_n_secundaria,deserci_n_media,aprobaci_n,aprobaci_n_transici_n,aprobaci_n_primaria,aprobaci_n_secundaria,aprobaci_n_media,reprobaci_n,reprobaci_n_transici_n,reprobaci_n_primaria,reprobaci_n_secundaria,reprobaci_n_media,repitencia,repitencia_transici_n,repitencia_primaria,repitencia_secundaria,repitencia_media
2023,5004,Abriaquí,5,Antioquia,3758.0,Antioquia (ETC),503,62.62,62.62,44.19,63.33,51.53,40.23,66.8,58.14,72.86,66.87,56.32,,,1.19,0.0,1.31,0.0,4.08,92.26,0.0,96.73,83.49,93.88,6.55,0.0,1.96,16.51,2.04,9.52,0.0,10.46,13.76,2.04
2023,95025,El Retorno,95,Guaviare,3830.0,Guaviare (ETC),4438,53.27,53.27,33.91,48.89,44.9,21.3,62.98,54.2,65.19,69.6,48.54,,,5.56,6.95,4.99,6.11,5.26,87.67,0.0,87.9,84.5,92.98,6.78,0.0,7.11,9.39,1.75,9.34,6.95,11.84,8.48,3.16
2023,95200,Miraflores,95,Guaviare,3830.0,Guaviare (ETC),2014,32.52,32.52,17.58,25.33,26.43,10.75,38.58,36.36,37.28,46.1,26.16,,,7.85,15.0,8.43,6.36,4.69,82.68,3.33,84.64,79.51,87.5,9.47,3.33,6.93,14.13,7.81,8.65,6.67,9.04,10.25,1.54
2023,97001,Mitú,97,Vaupés,3831.0,Vaupés (ETC),10986,59.57,59.57,42.76,55.95,43.51,17.06,70.65,64.9,76.96,72.92,53.12,,,3.95,2.27,1.84,6.77,5.47,90.71,0.57,94.12,84.91,89.93,5.34,0.57,4.04,8.33,4.6,16.18,7.75,21.04,13.84,7.18
2023,97161,Caruru,97,Vaupés,3831.0,Vaupés (ETC),1228,51.3,51.3,76.32,52.29,33.71,11.94,55.54,92.11,65.21,51.12,27.36,,,8.36,4.29,3.05,15.72,14.55,82.4,0.0,89.63,69.0,78.18,9.24,0.0,7.32,15.28,7.27,9.24,2.86,7.62,14.85,3.64
2023,97511,Pacoa,97,Vaupés,3831.0,Vaupés (ETC),1678,54.29,54.29,15.44,55.69,24.91,4.62,71.39,38.93,100.3,67.92,30.03,,,5.35,0.0,7.16,2.65,6.59,94.65,0.0,92.84,97.35,93.41,0.0,0.0,0.0,0.0,0.0,23.21,25.86,30.3,14.25,6.59
2023,97666,Taraira,97,Vaupés,3831.0,Vaupés (ETC),814,22.6,22.6,14.29,34.98,0.0,0.0,23.34,23.81,57.76,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.58,13.33,22.29,0.0,0.0
2023,97777,Papunaua,97,Vaupés,3831.0,Vaupés (ETC),209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,97889,Yavaraté,97,Vaupés,3831.0,Vaupés (ETC),561,47.95,47.95,68.75,52.19,25.84,13.04,52.05,100.0,69.74,36.36,27.17,,,4.45,0.0,1.89,6.58,20.0,95.55,0.0,98.11,93.42,80.0,0.0,0.0,0.0,0.0,0.0,12.33,3.13,19.5,3.95,4.0
2023,99001,Puerto Carreño,99,Vichada,3832.0,Vichada (ETC),4641,144.52,144.52,114.44,162.78,78.48,33.46,158.5,145.45,225.67,122.55,75.43,,,5.81,5.54,6.12,5.8,3.3,80.93,0.0,80.92,75.36,87.89,13.26,0.0,12.96,18.84,8.81,11.18,0.82,13.25,10.45,6.39
2023,99524,La Primavera,99,Vichada,3832.0,Vichada (ETC),2659,95.94,95.94,73.37,102.36,60.71,29.68,105.45,108.7,135.63,94.33,58.28,,,6.44,7.77,4.88,9.02,5.17,83.33,0.0,81.66,82.07,90.04,10.23,0.0,13.46,8.91,4.8,13.98,1.55,19.37,11.8,1.48
2023,99624,Santa Rosalía,99,Vichada,3832.0,Vichada (ETC),1159,83.87,83.87,64.94,85.74,54.05,27.75,93.1,111.69,112.81,83.78,55.5,,,4.91,4.65,4.03,6.45,4.72,85.26,0.0,88.28,75.66,92.45,9.82,0.0,7.69,17.89,2.83,13.99,0.0,16.48,17.01,2.83
2023,99773,Cumaribo,99,Vichada,3832.0,Vichada (ETC),25357,49.85,49.85,38.19,57.31,16.07,3.96,56.18,55.67,87.14,36.16,16.88,,,7.5,5.72,7.52,8.61,5.13,76.05,0.09,71.13,81.52,89.74,16.45,0.09,21.35,9.87,5.13,21.27,0.52,27.83,11.87,6.56
2023,95001,San José del Guaviare,95,Guaviare,3830.0,Guaviare (ETC),13980,90.57,90.54,54.89,83.5,72.82,40.81,108.76,93.07,115.89,112.22,91.92,,,5.87,8.41,4.95,7.51,3.08,85.04,0.32,88.21,76.8,91.25,9.09,0.32,6.84,15.69,5.67,10.84,6.83,11.44,13.61,1.92
2023,94887,Pana Pana,94,Guainía,3829.0,Guainía (ETC),718,37.33,37.33,30.14,39.93,11.2,0.0,44.85,39.73,72.53,30.89,13.27,,,2.8,0.0,1.01,8.75,0.0,88.51,0.0,92.42,72.5,100.0,8.7,0.0,6.57,18.75,0.0,31.37,0.0,42.93,18.75,6.67
2023,94886,Cacahual,94,Guainía,3829.0,Guainía (ETC),388,81.7,81.7,76.0,68.65,8.06,0.0,84.28,112.0,147.03,21.77,0.0,,,7.65,3.57,8.82,0.0,0.0,77.68,0.0,73.9,96.3,0.0,14.68,0.0,17.28,3.7,0.0,21.71,0.0,25.74,3.7,0.0
2023,94885,La Guadalupe,94,Guainía,3829.0,Guainía (ETC),112,50.0,50.0,30.0,71.15,0.0,0.0,50.89,40.0,101.92,0.0,0.0,,,5.26,0.0,5.66,0.0,0.0,78.95,0.0,77.36,0.0,0.0,15.79,0.0,16.98,0.0,0.0,21.05,0.0,22.64,0.0,0.0
2023,94884,Puerto Colombia,94,Guainía,3829.0,Guainía (ETC),754,76.53,76.53,34.78,82.7,9.01,0.9,82.89,88.41,147.8,20.17,11.71,,,7.52,4.92,5.16,31.91,23.08,70.24,0.0,67.66,63.83,76.92,22.24,0.0,27.18,4.26,0.0,27.84,4.92,31.15,23.4,23.08
2023,94883,San Felipe,94,Guainía,3829.0,Guainía (ETC),671,59.61,59.61,25.35,61.73,11.3,6.45,67.06,57.75,109.39,36.52,23.66,,,16.0,7.32,16.83,20.24,4.55,72.89,0.0,67.33,77.38,95.45,11.11,0.0,15.84,2.38,0.0,18.44,4.88,24.75,7.14,0.0
2023,94343,Barranco Minas,94,Guainía,3829.0,Guainía (ETC),4041,66.07,66.07,63.01,67.03,34.41,10.3,77.93,71.68,95.89,70.03,49.3,,,3.62,3.23,2.06,6.03,5.06,83.64,0.0,83.8,79.66,84.18,12.74,0.0,14.15,14.32,10.76,9.75,0.4,12.63,9.25,3.48
2023,94001,Inírida,94,Guainía,3829.0,Guainía (ETC),9673,77.42,77.33,72.7,73.75,45.35,13.11,89.34,106.92,108.59,82.48,47.78,,,6.42,6.75,5.08,9.29,3.66,81.12,1.46,81.57,75.11,89.01,12.46,1.46,13.35,15.6,7.33,16.19,8.47,18.36,17.25,6.11
2023,91798,Tarapacá,91,Amazonas,3828.0,Amazonas (ETC),1327,50.04,50.04,33.94,62.02,19.96,3.08,55.16,71.56,87.71,35.2,8.37,,,2.19,0.0,0.21,8.28,10.53,90.16,0.0,98.54,67.52,26.32,7.65,0.0,1.26,24.2,63.16,26.09,1.28,28.87,29.3,31.58
2023,91669,Puerto Santander,91,Amazonas,3828.0,Amazonas (ETC),618,63.75,63.75,72.34,78.03,27.1,11.83,69.74,114.89,98.11,41.59,31.18,,,0.95,1.85,0.39,2.25,0.0,95.48,0.0,96.53,89.89,100.0,3.57,0.0,3.09,7.87,0.0,16.67,1.85,19.69,16.85,16.67
2023,91540,Puerto Nariño,91,Amazonas,3828.0,Amazonas (ETC),3232,55.07,55.07,37.74,53.98,39.01,16.28,63.18,73.15,73.34,58.83,41.38,,,9.67,5.85,7.59,12.28,15.43,78.27,0.0,78.9,72.25,79.26,12.06,0.0,13.51,15.47,5.32,15.37,5.85,18.61,16.75,3.72
2023,91536,Puerto Arica,91,Amazonas,3828.0,Amazonas (ETC),274,83.94,83.94,44.44,87.1,55.95,20.51,95.26,81.48,120.16,79.76,58.97,,,0.0,0.0,0.0,0.0,0.0,99.62,0.0,99.33,100.0,100.0,0.38,0.0,0.67,0.0,0.0,11.49,0.0,12.75,10.45,17.39
2023,91530,Puerto Alegría,91,Amazonas,3828.0,Amazonas (ETC),211,65.4,65.4,40.91,63.64,37.5,0.0,68.72,77.27,96.97,50.0,0.0,,,1.38,0.0,0.0,6.25,0.0,91.03,0.0,90.63,87.5,0.0,7.59,0.0,9.38,6.25,0.0,18.62,29.41,19.79,9.38,0.0
2023,91460,Miriti - Paraná,91,Amazonas,3828.0,Amazonas (ETC),571,49.39,49.39,11.63,54.11,27.13,11.01,58.84,39.53,78.35,53.19,34.86,,,10.42,5.88,2.21,21.0,23.68,89.58,0.0,97.79,79.0,76.32,0.0,0.0,0.0,0.0,0.0,12.5,17.65,11.05,18.0,2.63
2023,91430,La Victoria,91,Amazonas,3828.0,Amazonas (ETC),169,14.2,14.2,23.53,15.49,0.0,0.0,14.2,29.41,26.76,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,20.0,15.79,0.0,0.0
